Company name,Ticker,"Operating revenue (Turnover)
th USD 2015","Number of employees
2015",Total Sales,Sales in US/North America,Sales in Europe/EMEA,(Sales in Europe/EMEA)/ (Total Sales),Percentage,Treatement/Control
ALPHABET INC.,GOOGL,74989000.0,61814,74989000.0,34810000,26368000,0.3516249049860646,0.3516249049860646,Treatment
MICROSOFT CORPORATION,MSFT,93580000.0,118000,93580000.0,42941000,50639000,0.5411305834580038,0.5411305834580038,Treatment
"FACEBOOK, INC",FB,17928000.0,12691,17928000.0,8513000,9415000,0.5251561802766622,0.5251561802766622,Treatment
INTERNATIONAL BUSINESS MACHINES CORP,IBM,81741000.0,377757,81741000.0,38486000,26073000,0.3189708958784453,0.3189708958784453,Treatment
"PAYPAL HOLDINGS, INC.",PYPL,9248000.0,16800,9248000.0,4640000,3417000,0.3694852941176471,0.3694852941176471,Treatment
ADOBE INC,ADBE,4795511.0,13893,4795511.0,2548024,1336448,0.2786872973495421,0.2786872973495421,Treatment
ELECTRONIC ARTS INC,EA,4396000.0,8500,4396000.0,1907000,2489000,0.566196542311192,0.566196542311192,Treatment
AUTODESK INC,ADSK,2504100.0,9500,2504100.0,934600,803900,0.3210335050517152,0.3210335050517152,Treatment
TAKE-TWO INTERACTIVE SOFTWARE INC.,TTWO,1413698.0,2933,1413698.0,742963,449577,0.3180148801229117,0.3180148801229117,Treatment
IAC INC.,IACI,3230933.0,5000,3230933.0,2376035,854898,0.2645978731220981,0.2645978731220981,Treatment
GODADDY INC.,GDDY,1607300.0,4761,1607300.0,1192600,414700,0.2580103278790518,0.2580103278790518,Treatment
"MATCH GROUP, INC.",MTCH,1020431.0,4800,1020431.0,695149,325282,0.3187692259447233,0.3187692259447233,Treatment
VEEVA SYSTEMS INC.,VEEV,409221.0,1474,409221.0,225483,111923,0.273502581734564,0.273502581734564,Treatment
ANSYS INC,ANSS,942753.0,2800,942753.0,354433,289975,0.3075832163885981,0.3075832163885981,Treatment
PTC INC.,PTC,1255242.0,5982,1255242.0,530311,467805,0.3726811244365628,0.3726811244365628,Treatment
UNISYS CORP,UIS,3015100.0,23000,3015100.0,1455000,1184000,0.392690126363968,0.392690126363968,Treatment
"LIBERTY TRIPADVISOR HOLDINGS, INC.",LTRPA,1565000.0,23900,1565000.0,807000,758000,0.4843450479233226,0.4843450479233226,Treatment
"ACI WORLDWIDE, INC.",ACIW,1045977.0,4576,1045977.0,628013,417964,0.3995919604350765,0.3995919604350765,Treatment
PEGASYSTEMS INC,PEGA,682695.0,3333,682695.0,379936,183554,0.2688667706662565,0.2688667706662565,Treatment
"VERINT SYSTEMS, INC.",VRNT,1130266.0,5000,1130266.0,430626,350217,0.3098536096812608,0.3098536096812608,Treatment
"SHUTTERSTOCK, INC.",SSTK,425149.0,627,425149.0,166225,144103,0.3389470515042961,0.3389470515042961,Treatment
"COMMVAULT SYSTEMS, INC",CVLT,593767.0,2379,593767.0,341822,251945,0.4243162722077852,0.4243162722077852,Treatment
PROGRESS SOFTWARE CORPORATION,PRGS,377554.0,1766,377554.0,193665,124171,0.3288827558441971,0.3288827558441971,Treatment
"QUALYS, INC.",QLYS,164284.0,510,164284.0,115384,48900,0.2976552798811813,0.2976552798811813,Treatment
"VARONIS SYSTEMS, INC.",VRNS,127210.0,947,127210.0,73343,44994,0.3536986085999528,0.3536986085999528,Treatment
MICROSTRATEGY INC,MSTR,529869.0,1947,529869.0,326792,153658,0.2899924320917056,0.2899924320917056,Treatment
3D SYSTEMS CORPORATION,DDD,666163.0,2492,666163.0,432336,278640,0.4182760075236841,0.4182760075236841,Treatment
"PROS HOLDINGS, INC.",PRO,168246.0,1033,168246.0,63754,58194,0.3458863806568952,0.3458863806568952,Treatment
ONESPAN INC.,VDSI,241443.0,545,241443.0,25596,164180,0.6799948642122572,0.6799948642122572,Treatment
"PDF SOLUTIONS, INC.",PDFS,97976.0,390,97976.0,45082,33278,0.3396546092920715,0.3396546092920715,Treatment
EGAIN CORPORATION,EGAN,75913.0,562,75913.0,36551,37666,0.4961732509583338,0.4961732509583338,Treatment
INNODATA INC.,INOD,58523.0,5090,58523.0,28412,24287,0.4149992310715445,0.4149992310715445,Treatment
TRAVELZOO,TZOO,123961.0,473,123961.0,68441,38399,0.3097667814877259,0.3097667814877259,Treatment
"NETSOL TECHNOLOGIES, INC.",NTWK,51048.58,1590,51048.58,7191,12940,0.2534840342277885,0.2534840342277885,Treatment
MARIN SOFTWARE INCORPORATED,MRIN,108530.0,511,108530.0,72942,35588,0.3279093338247489,0.3279093338247489,Treatment
